RN,CCTVID,CCTVNAME,CENTERNAME,XCOORD,YCOORD
1,L933113,강원 강릉 용강동,KBS 재난포털,128.89116,37.752075
2,L933103,강원 강릉 주문진방파제,KBS 재난포털,128.83349609,37.89340973
3,L933094,강원 속초 등대전망대,KBS 재난포털,128.60009766,38.21339035
4,L933097,강원 평창 대관령,KBS 재난포털,128.75527954,37.69804001
5,L933080,경기 가평 가평2교(북한강),KBS 재난포털,127.52288818,37.83100891
6,L933082,경기 구리 수택동(왕숙천),KBS 재난포털,127.15023041,37.59938049
7,L933064,경기 파주 감악산 일대,KBS 재난포털,126.97019958,37.9417038
8,L933085,경남 밀양 삼랑진(낙동강),KBS 재난포털,128.82519531,35.38454819
9,L933093,경남 창원 마산항,KBS 재난포털,128.57600403,35.19784927
10,L933095,경북 울릉 저동항,KBS 재난포털,130.91218567,37.49132156
11,L933096,경북 포항 두호동 해안로,KBS 재난포털,129.3895874,36.06269073
12,L933077,대구 동구 신천동(신천),KBS 재난포털,128.60972595,35.87561035
13,L933078,대전 유성 구성동(갑천),KBS 재난포털,127.37384796,36.37240982
14,L933065,독도,KBS 재난포털,131.86860657,37.23936081
15,L933075,부산 동래 세병교(온천천),KBS 재난포털,129.08250427,35.19768143
16,L933099,부산 수영 민락항 앞,KBS 재난포털,129.13121033,35.153759
17,L933107,서울 강남 강남대로,KBS 재난포털,127.02619934,37.5013504
18,L933104,서울 강남 대치역사거리,KBS 재난포털,127.06284332,37.49451065
19,L933074,서울 노원 월계동(중랑천),KBS 재난포털,127.06269836,37.63238144
20,L933073,서울 마포 성산교(홍제천),KBS 재난포털,126.89992523,37.56269073
21,L933106,서울 서초 반포한강공원,KBS 재난포털,126.99711609,37.51171875
22,L933098,서울 서초 서초대로,KBS 재난포털,127.0243454,37.49713898
23,L933081,서울 서초 양재동(양재천),KBS 재난포털,127.03795624,37.47327042
24,L933071,서울 송파 롯데타워1,KBS 재난포털,127.10276031,37.51285934
25,L933105,서울 송파 탄천주차장,KBS 재난포털,127.0697403,37.51472855
26,L933069,서울 영등포 여의도,KBS 재난포털,126.9199295,37.52219009
27,L933067,서울 용산 한강,KBS 재난포털,127.00511932,37.52774811
28,L933070,서울 중구 서울광장,KBS 재난포털,126.97799683,37.56557083
29,L933063,울산 KBS울산방송국,KBS 재난포털,129.32653809,35.54419708
30,L933066,인천 옹진 연평도,KBS 재난포털,125.69450378,37.66199875
31,L933089,인천 중구 연안부두,KBS 재난포털,126.59861755,37.45413971
32,L933086,전남 나주 나주대교(영산강),KBS 재난포털,126.7321701,35.03718948
33,L933100,전남 목포 목포북항,KBS 재난포털,126.36519623,34.80419922
34,L933091,전남 신안 가거도,KBS 재난포털,125.12927246,34.05292892
35,L933101,전남 여수 거문도,KBS 재난포털,127.30738068,34.02315903
36,L933102,전남 여수 오동도 앞,KBS 재난포털,127.75569916,34.74097824
37,L933092,전남 완도 완도항,KBS 재난포털,126.74885559,34.32091141
38,L933087,전북 군산 비응항,KBS 재난포털,126.52654266,35.93531036
39,L933079,전북 남원 뱀사골(지리산),KBS 재난포털,127.57956696,35.37289047
40,L933111,전북 전주 효자동3가,KBS 재난포털,127.10504,35.822895
41,L933112,제주 도남동 일대,KBS 재난포털,126.5195,33.48906
42,L933090,제주 서귀포 마라도,KBS 재난포털,126.26837921,33.11392212
43,L933084,충남 공주 금강교(금강),KBS 재난포털,127.12638855,36.47092056
44,L933088,충남 태안 근흥면 신진항,KBS 재난포털,126.13652802,36.67787933
45,L933083,충북 단양 도담삼봉,KBS 재난포털,128.3419342,37.0005188
46,L933076,충북 청주 사직동(무심천),KBS 재난포털,127.48226929,36.63582993
47,L280068,6번교차로-01,거제교통정보센터,128.6218785,34.8915019
48,L280069,6번교차로-02,거제교통정보센터,128.6213611,34.891383
49,L280070,6번교차로-03,거제교통정보센터,128.6217582,34.8912017
50,L280071,6번교차로-04,거제교통정보센터,128.6215459,34.8916603
51,L280056,가덕영업소,거제교통정보센터,128.8173442,35.0256198
52,L280051,거가1교,거제교통정보센터,128.7319259,35.0177349
53,L280050,거가1교(저도방향),거제교통정보센터,128.7319259,35.0177349
54,L280052,거가2교,거제교통정보센터,128.758293,35.0146692
55,L280001,거제면 귀목정,거제교통정보센터,128.5819564,34.86278339
56,L280002,거제면 서정사거리,거제교통정보센터,128.5850852,34.8552036
57,L280049,거제영업소,거제교통정보센터,128.7063061,35.013611
58,L280003,고현동 고현버스터미널사거리,거제교통정보센터,128.6241776,34.8919761
59,L280004,고현동 고현사거리,거제교통정보센터,128.6239052,34.88719857
60,L280005,고현동 공설운동장교차로,거제교통정보센터,128.6205228,34.88311517
61,L280006,고현동 보건소밑,거제교통정보센터,128.6361869,34.89212535
62,L280007,남부면 도장포마을교차로,거제교통정보센터,128.6607614,34.7402533
63,L280008,남부면 저구삼거리,거제교통정보센터,128.6136415,34.7300588
64,L280009,남부면 함목삼거리,거제교통정보센터,128.6507193,34.7416547
65,L280010,덕포동 덕포교차로,거제교통정보센터,128.7072378,34.9146874
66,L280011,덕포동 하덕마을교차로,거제교통정보센터,128.7040128,34.91079013
67,L280012,동부면 연담삼거리,거제교통정보센터,128.6296646,34.8102623
68,L280013,동부면 학동삼거리,거제교통정보센터,128.6409485,34.7746521
69,L280014,동부면 학동삼거리1,거제교통정보센터,128.640994,34.774894
70,L280015,동부면 학동삼거리2,거제교통정보센터,128.641214,34.77509
71,L280016,문동동 상동교차로,거제교통정보센터,128.6405141,34.8660624
72,L280017,사등면 구거제대교,거제교통정보센터,128.476879,34.88339791
73,L280018,사등면 두동마을,거제교통정보센터,128.5761112,34.89227763
74,L280019,사등면 두동터널후방,거제교통정보센터,128.5783699,34.87772852
75,L280020,사등면 사곡램프,거제교통정보센터,128.5704947,34.8979657
76,L280021,사등면 신거제대교입구,거제교통정보센터,128.4844096,34.8868764
77,L280022,삼거동 삼거마을,거제교통정보센터,128.650406,34.836064
78,L280100,상동교차로-01,거제교통정보센터,128.6402506,34.8660305
79,L280101,상동교차로-02,거제교통정보센터,128.6411408,34.8656271
80,L280102,상동교차로-03,거제교통정보센터,128.6408502,34.8656829
81,L280103,상동교차로-04,거제교통정보센터,128.6406155,34.8659642
82,L280023,상동동 독봉산웰빙공원,거제교통정보센터,128.6327801,34.8778483
83,L280024,상동동 상동사거리,거제교통정보센터,128.6317309,34.8741741
84,L280096,상동사거리-01,거제교통정보센터,128.6317261,34.8742865
85,L280097,상동사거리-02,거제교통정보센터,128.6320759,34.8743266
86,L280098,상동사거리-03,거제교통정보센터,128.6317037,34.874459
87,L280099,상동사거리-04,거제교통정보센터,128.6320775,34.8741168
88,L280025,수월동 수월삼거리,거제교통정보센터,128.6422001,34.8962048
89,L280080,수월사거리(9번교차로)-01,거제교통정보센터,128.6420211,34.8965552
90,L280081,수월사거리(9번교차로)-02,거제교통정보센터,128.6422899,34.8962592
91,L280082,수월사거리(9번교차로)-03,거제교통정보센터,128.6422849,34.896583
92,L280083,수월사거리(9번교차로)-04,거제교통정보센터,128.6421293,34.8962425
93,L280061,신촌삼거리-01,거제교통정보센터,128.6140752,34.8886591
94,L280062,신촌삼거리-02,거제교통정보센터,128.6141203,34.8887528
95,L280063,신촌삼거리-03,거제교통정보센터,128.6142573,34.8887321
96,L280104,신현중교차로(4번교차로)-01,거제교통정보센터,128.6163617,34.8898927
97,L280105,신현중교차로(4번교차로)-02,거제교통정보센터,128.6168086,34.8901379
98,L280106,신현중교차로(4번교차로)-03,거제교통정보센터,128.6163983,34.8902247
99,L280107,신현중교차로(4번교차로)-04,거제교통정보센터,128.6167995,34.8898904
100,L280026,아주동 아주대동다숲,거제교통정보센터,128.6853564,34.86783996
101,L280027,아주동 아주운동장앞사거리,거제교통정보센터,128.6904029,34.8648929
102,L280028,아주동 아주터널사거리,거제교통정보센터,128.6893953,34.8695344
103,L280092,아주터널사거리-01,거제교통정보센터,128.689584,34.869632
104,L280093,아주터널사거리-02,거제교통정보센터,128.689296,34.868966
105,L280094,아주터널사거리-03,거제교통정보센터,128.689237,34.869476
106,L280095,아주터널사거리-04,거제교통정보센터,128.689833,34.86894
107,L280084,연사삼거리-01,거제교통정보센터,128.6457407,34.9091486
108,L280085,연사삼거리-02,거제교통정보센터,128.6456406,34.9089142
109,L280086,연사삼거리-03,거제교통정보센터,128.6457875,34.9090065
110,L280029,연초면 송정IC,거제교통정보센터,128.6794582,34.9125789
111,L280030,연초면 야부삼거리,거제교통정보센터,128.666056,34.911636
112,L280031,연초면 양지휴게소후방,거제교통정보센터,128.6813392,34.90120639
113,L280032,연초면 연사삼거리,거제교통정보센터,128.6459173,34.90567356
114,L280034,연초면 연초치안센터,거제교통정보센터,128.6532241,34.9120913
115,L280033,연초면 죽토교,거제교통정보센터,128.6569197,34.91168739
116,L280090,연초삼거리-01,거제교통정보센터,128.653392,34.9119982
117,L280091,연초삼거리-02,거제교통정보센터,128.6527194,34.9118565
118,L280036,옥포동 옥포삼거리,거제교통정보센터,128.6878577,34.8930792
119,L280087,옥포삼거리-01,거제교통정보센터,128.687482,34.893304
120,L280088,옥포삼거리-02,거제교통정보센터,128.687841,34.892941
121,L280089,옥포삼거리-03,거제교통정보센터,128.687558,34.893096
122,L280037,일운면 구조라해수욕장,거제교통정보센터,128.691046,34.809313
123,L280038,일운면 망치삼거리,거제교통정보센터,128.6786684,34.8147073
124,L280039,일운면 신촌사거리,거제교통정보센터,128.6993404,34.8352579
125,L280040,일운면 와현해수욕장,거제교통정보센터,128.709425,34.8263
126,L280041,장목면 관포교차로,거제교통정보센터,128.689365,34.9910847
127,L280042,장목면 대금교차로,거제교통정보센터,128.6984487,34.9684732
128,L280043,장목면 외포교차로,거제교통정보센터,128.7102305,34.9399581
129,L280044,장승포동 두모로터리,거제교통정보센터,128.7222678,34.8703941
130,L280035,장승포동 옥림아파트사거리,거제교통정보센터,128.7199567,34.855396
131,L280045,장승포동 장승포소방서앞,거제교통정보센터,128.7297334,34.8711827
132,L280057,장평교차로-01,거제교통정보센터,128.6090561,34.8888116
133,L280058,장평교차로-02,거제교통정보센터,128.6089301,34.888742
134,L280059,장평교차로-03,거제교통정보센터,128.6091999,34.888751
135,L280060,장평교차로-04,거제교통정보센터,128.6090628,34.8887004
136,L280046,장평동 새거제관광휴게소전방,거제교통정보센터,128.5936949,34.8912037
137,L280047,장평동 신촌삼거리,거제교통정보센터,128.6142103,34.8885017
138,L280048,장평동 장평오거리,거제교통정보센터,128.6089338,34.8932442
139,L280076,중곡육교차로(8번교차로)-01,거제교통정보센터,128.6305849,34.8929352
140,L280077,중곡육교차로(8번교차로)-02,거제교통정보센터,128.6303945,34.8927648
141,L280078,중곡육교차로(8번교차로)-03,거제교통정보센터,128.6308454,34.8927965
142,L280079,중곡육교차로(8번교차로)-04,거제교통정보센터,128.6305907,34.8926522
143,L280054,침매터널(거제방향),거제교통정보센터,128.7977039,35.0202051
144,L280053,침매터널(부산방향),거제교통정보센터,128.7894504,35.018093
145,L280055,침매터널입구,거제교통정보센터,128.8090955,35.0224992
146,L280072,터미널사거리(7번교차로)-01,거제교통정보센터,128.6240553,34.8917997
147,L280073,터미널사거리(7번교차로)-02,거제교통정보센터,128.6245292,34.8918406
148,L280074,터미널사거리(7번교차로)-03,거제교통정보센터,128.6241889,34.891996
149,L280075,터미널사거리(7번교차로)-04,거제교통정보센터,128.6243878,34.891635
150,L280064,한전교차로(5번교차로)-01,거제교통정보센터,128.6180151,34.890932
151,L280065,한전교차로(5번교차로)-02,거제교통정보센터,128.6179794,34.8908612
152,L280066,한전교차로(5번교차로)-03,거제교통정보센터,128.6181215,34.8909106
153,L280067,한전교차로(5번교차로)-04,거제교통정보센터,128.6180807,34.8908389
154,E440001,경산네거리,경산교통정보센터,128.734845,35.834296
155,E440002,경산오거리,경산교통정보센터,128.737192,35.823757
156,E440009,계양네거리,경산교통정보센터,128.749202,35.823017
157,E440013,대구카톨릭대입구,경산교통정보센터,128.812032,35.907678
158,E440010,대구한의대입구 삼거리,경산교통정보센터,128.777384,35.812054
159,E440014,동강네거리,경산교통정보센터,128.833411,35.956113
160,E440003,백천교차로,경산교통정보센터,128.741001,35.807648
161,E440012,사동삼거리,경산교통정보센터,128.760183,35.818162
162,E440006,압량네거리,경산교통정보센터,128.761466,35.841519
163,E440008,역전네거리,경산교통정보센터,128.728719,35.820048
164,E440005,영대오거리,경산교통정보센터,128.747056,35.834032
165,E440011,자인교차로,경산교통정보센터,128.811569,35.815966
166,E440004,중산삼거리,경산교통정보센터,128.722551,35.835087
167,E440007,중산지구입구 삼거리,경산교통정보센터,128.716303,35.82456
168,E440015,진량읍사무소,경산교통정보센터,128.818718,35.875016
169,E350001,건천농협네거리,경주교통정보센터,129.103265,35.849555
170,E350002,경주교남단,경주교통정보센터,129.217646,35.851753
171,E350003,경주여고삼거리,경주교통정보센터,129.207758,35.857316
172,E350005,계림중네거리,경주교통정보센터,129.212894,35.863477
173,E350007,괘릉신호대,경주교통정보센터,129.314139,35.757478
174,E350008,교촌교 남단 삼거리,경주교통정보센터,129.214799,35.828513
175,E350009,구어2산업단입구교차로,경주교통정보센터,129.294693,35.709996
176,E350010,구어사거리,경주교통정보센터,129.326516,35.707485
177,E350011,구정로터리,경주교통정보센터,129.294861,35.778132
178,E350012,구황교네거리,경주교통정보센터,129.236485,35.841586
179,E350014,군부대입구신호대(동천1대대),경주교통정보센터,129.234147,35.848392
180,E350015,근화여고,경주교통정보센터,129.225681,35.872438
181,E350016,금성삼거리,경주교통정보센터,129.206144,35.817891
182,E350017,금장교네거리,경주교통정보센터,129.207121,35.865874
183,E350018,금장교차로,경주교통정보센터,129.193903,35.873003
184,E350020,나산천교,경주교통정보센터,129.46192,35.708085
185,E350021,나산초등삼거리신호대,경주교통정보센터,129.471242,35.698658
186,E350022,나정교사거리,경주교통정보센터,129.2024,35.815577
187,E350023,달성네거리,경주교통정보센터,129.243645,36.058059
188,E350025,대종천삼거리(대본삼거리),경주교통정보센터,129.480226,35.744926
189,E350026,도당터널 인근,경주교통정보센터,129.221924,35.824426
190,E350027,동궁원,경주교통정보센터,129.263407,35.851474
191,E350028,동대교네거리,경주교통정보센터,129.202217,35.856301
192,E350029,동천동,경주교통정보센터,129.24804,35.8433
193,E350030,두산위브네거리,경주교통정보센터,129.325063,35.781257
194,E350031,라한셀렉트삼거리,경주교통정보센터,129.278404,35.850715
195,E350032,문산2산단진입로네거리,경주교통정보센터,129.314749,35.672029
196,E350033,박물관네거리,경주교통정보센터,129.229265,35.831332
197,E350034,배반네거리,경주교통정보센터,129.23493,35.827678
198,E350036,보문교삼거리,경주교통정보센터,129.258372,35.846613
199,E350037,보불로삼거리,경주교통정보센터,129.30073,35.831627
200,E350038,불국사농협주유소삼거리,경주교통정보센터,129.308948,35.768722
201,E350039,블루원리조트진입로삼거리,경주교통정보센터,129.306042,35.817746
202,E350040,사천왕사지삼거리,경주교통정보센터,129.241705,35.819085
203,E350042,서라벌네거리,경주교통정보센터,129.207121,35.839281
204,E350043,서라벌대 신호대,경주교통정보센터,129.186234,35.841453
205,E350044,서라벌초입구삼거리,경주교통정보센터,129.278338,35.833722
206,E350045,서천교 서편,경주교통정보센터,129.198999,35.837368
207,E350046,석계교,경주교통정보센터,129.313889,35.679524
208,E350047,석장동 입구 삼거리(동대병원),경주교통정보센터,129.196248,35.859154
209,E350048,석탈해왕릉,경주교통정보센터,129.230843,35.851562
210,E350049,선덕네거리,경주교통정보센터,129.221326,35.836194
211,E350051,소방서 삼거리,경주교통정보센터,129.229003,35.843942
212,E350052,승삼네거리,경주교통정보센터,129.227452,35.877167
213,E350053,시청네거리,경주교통정보센터,129.224215,35.856643
214,E350055,신당교차로,경주교통정보센터,129.235691,35.889041
215,E350056,신한은행네거리,경주교통정보센터,129.211644,35.84459
216,E350057,안강네거리,경주교통정보센터,129.228282,35.991522
217,E350058,양남하서네거리,경주교통정보센터,129.46152,35.677654
218,E350059,양정로삼거리,경주교통정보센터,129.223348,35.849404
219,E350060,역전삼거리,경주교통정보센터,129.217238,35.844778
220,E350061,영마을삼거리,경주교통정보센터,129.200891,35.845162
221,E350062,오릉네거리,경주교통정보센터,129.210532,35.81991
222,E350063,외동교차로,경주교통정보센터,129.331513,35.691071
223,E350064,외동농공단지입구삼거리(다스앞),경주교통정보센터,129.331217,35.695753
224,E350065,용강네거리,경주교통정보센터,129.223793,35.867804
225,E350066,용강현진에버빌 삼거리,경주교통정보센터,129.22331,35.886069
226,E350067,용황지구,경주교통정보센터,129.230477,35.882287
227,E350068,용황휴포레입구삼거리,경주교통정보센터,129.227731,35.883391
228,E350069,읍천항 입구 삼거리,경주교통정보센터,129.473943,35.689558
229,E350070,이안아파트삼거리,경주교통정보센터,129.171775,35.844856
230,E350071,입천교신호대,경주교통정보센터,129.440386,35.791328
231,E350072,전촌네거리(감포119안전센터),경주교통정보센터,129.494027,35.79843
232,E350074,중앙시장네거리,경주교통정보센터,129.206949,35.844856
233,E350075,진리마을삼거리,경주교통정보센터,129.466335,35.681173
234,E350076,천군네거리,경주교통정보센터,129.284486,35.834463
235,E350077,천마총삼거리,경주교통정보센터,129.211728,35.839966
236,E350079,축구공원 앞,경주교통정보센터,129.208408,35.858535
237,E350080,충효교차로,경주교통정보센터,129.162129,35.834167
